x,y,z
-6.112771034240723e-07,-5.016621351242066e-07,-1.2878857612609862e-05
-6.176146268844604e-07,-5.068632364273071e-07,-8.040519714355469e-06
-6.176146268844604e-07,-5.068632364273071e-07,-7.959480762481689e-06
-6.112771034240723e-07,-5.016621351242066e-07,-8.121142387390136e-06
-6.112771034240723e-07,-5.016621351242066e-07,-7.878857612609863e-06
-6.643219590187072e-07,-4.4388574361801144e-07,-1.3040519714355468e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-1.295948028564453e-05
-6.575050950050354e-07,-4.393308758735657e-07,-1.3121142387390136e-05
-6.575050950050354e-07,-4.393308758735657e-07,-1.2878857612609862e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-1.3200522422790526e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-1.3277844429016113e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-1.2799477577209472e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-1.2722155570983887e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-8.040519714355469e-06
-6.643219590187072e-07,-4.4388574361801144e-07,-7.959480762481689e-06
-6.575050950050354e-07,-4.393308758735657e-07,-8.121142387390136e-06
-6.575050950050354e-07,-4.393308758735657e-07,-7.878857612609863e-06
-6.439413428306579e-07,-4.3026787042617796e-07,-8.200522422790526e-06
-6.439413428306579e-07,-4.3026787042617796e-07,-7.79947805404663e-06
-6.237699389457703e-07,-4.1678974032402036e-07,-8.277844429016112e-06
-6.237699389457703e-07,-4.1678974032402036e-07,-7.722155570983887e-06
-6.176146268844604e-07,-5.068632364273071e-07,-5.04051923751831e-06
-6.176146268844604e-07,-5.068632364273071e-07,-4.959480762481689e-06
-6.112771034240723e-07,-5.016621351242066e-07,-5.121142387390136e-06
-6.112771034240723e-07,-5.016621351242066e-07,-4.878857612609863e-06
-6.643219590187072e-07,-4.4388574361801144e-07,-5.04051923751831e-06
-6.643219590187072e-07,-4.4388574361801144e-07,-4.959480762481689e-06
-6.575050950050354e-07,-4.393308758735657e-07,-5.121142387390136e-06
-6.575050950050354e-07,-4.393308758735657e-07,-4.878857612609863e-06
-6.439413428306579e-07,-4.3026787042617796e-07,-5.2005219459533685e-06
-6.439413428306579e-07,-4.3026787042617796e-07,-4.799478054046631e-06
-6.237699389457703e-07,-4.1678974032402036e-07,-5.277844429016113e-06
-6.237699389457703e-07,-4.1678974032402036e-07,-4.722155570983886e-06
-5.068632364273071e-07,-6.176146268844604e-07,-1.3040519714355468e-05
-5.068632364273071e-07,-6.176146268844604e-07,-1.295948028564453e-05
-5.016621351242066e-07,-6.112771034240723e-07,-1.3121142387390136e-05
-5.016621351242066e-07,-6.112771034240723e-07,-1.2878857612609862e-05
-5.068632364273071e-07,-6.176146268844604e-07,-8.040519714355469e-06
-5.068632364273071e-07,-6.176146268844604e-07,-7.959480762481689e-06
-5.016621351242066e-07,-6.112771034240723e-07,-8.121142387390136e-06
-5.016621351242066e-07,-6.112771034240723e-07,-7.878857612609863e-06
-4.4388574361801144e-07,-6.643219590187072e-07,-1.3040519714355468e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-1.295948028564453e-05
-4.393308758735657e-07,-6.575050950050354e-07,-1.3121142387390136e-05
-4.393308758735657e-07,-6.575050950050354e-07,-1.2878857612609862e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-1.3200522422790526e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-1.3277844429016113e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-1.2799477577209472e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-1.2722155570983887e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-8.040519714355469e-06
-4.4388574361801144e-07,-6.643219590187072e-07,-7.959480762481689e-06
-4.393308758735657e-07,-6.575050950050354e-07,-8.121142387390136e-06
-4.393308758735657e-07,-6.575050950050354e-07,-7.878857612609863e-06
-4.3026787042617796e-07,-6.439413428306579e-07,-8.200522422790526e-06
-4.3026787042617796e-07,-6.439413428306579e-07,-7.79947805404663e-06
-4.1678974032402036e-07,-6.237699389457703e-07,-8.277844429016112e-06
-4.1678974032402036e-07,-6.237699389457703e-07,-7.722155570983887e-06
-5.068632364273071e-07,-6.176146268844604e-07,-5.04051923751831e-06
-5.068632364273071e-07,-6.176146268844604e-07,-4.959480762481689e-06
-5.016621351242066e-07,-6.112771034240723e-07,-5.121142387390136e-06
-5.016621351242066e-07,-6.112771034240723e-07,-4.878857612609863e-06
-4.4388574361801144e-07,-6.643219590187072e-07,-5.04051923751831e-06
-4.4388574361801144e-07,-6.643219590187072e-07,-4.959480762481689e-06
-4.393308758735657e-07,-6.575050950050354e-07,-5.121142387390136e-06
-4.393308758735657e-07,-6.575050950050354e-07,-4.878857612609863e-06
-4.3026787042617796e-07,-6.439413428306579e-07,-5.2005219459533685e-06
-4.3026787042617796e-07,-6.439413428306579e-07,-4.799478054046631e-06
-4.1678974032402036e-07,-6.237699389457703e-07,-5.277844429016113e-06
-4.1678974032402036e-07,-6.237699389457703e-07,-4.722155570983886e-06
-5.649593472480773e-07,-5.649593472480773e-07,-1.3040519714355468e-05
-5.649593472480773e-07,-5.649593472480773e-07,-1.295948028564453e-05
-5.591621398925781e-07,-5.591621398925781e-07,-1.3121142387390136e-05
-5.591621398925781e-07,-5.591621398925781e-07,-1.2878857612609862e-05
-5.476270914077758e-07,-5.476270914077758e-07,-1.3200522422790526e-05
-5.304726958274841e-07,-5.304726958274841e-07,-1.3277844429016113e-05
-5.078749656677246e-07,-5.078749656677246e-07,-1.3352314949035644e-05
-5.476270914077758e-07,-5.476270914077758e-07,-1.2799477577209472e-05
-5.304726958274841e-07,-5.304726958274841e-07,-1.2722155570983887e-05
-5.078749656677246e-07,-5.078749656677246e-07,-1.2647685050964354e-05
-5.649593472480773e-07,-5.649593472480773e-07,-8.040519714355469e-06
-5.649593472480773e-07,-5.649593472480773e-07,-7.959480762481689e-06
-5.591621398925781e-07,-5.591621398925781e-07,-8.121142387390136e-06
-5.591621398925781e-07,-5.591621398925781e-07,-7.878857612609863e-06
-5.476270914077758e-07,-5.476270914077758e-07,-8.200522422790526e-06
-5.476270914077758e-07,-5.476270914077758e-07,-7.79947805404663e-06
-5.304726958274841e-07,-5.304726958274841e-07,-8.277844429016112e-06
-5.304726958274841e-07,-5.304726958274841e-07,-7.722155570983887e-06
-5.078749656677246e-07,-5.078749656677246e-07,-8.352314949035644e-06
-5.078749656677246e-07,-5.078749656677246e-07,-7.647684574127196e-06
-5.986669659614563e-07,-4.913133084774017e-07,-1.3200522422790526e-05
-5.799137353897095e-07,-4.7592291235923765e-07,-1.3277844429016113e-05
-5.552098155021667e-07,-4.556489288806915e-07,-1.3352314949035644e-05
-5.986669659614563e-07,-4.913133084774017e-07,-1.2799477577209472e-05
-5.799137353897095e-07,-4.7592291235923765e-07,-1.2722155570983887e-05
-5.552098155021667e-07,-4.556489288806915e-07,-1.2647685050964354e-05
-5.248087048530578e-07,-4.306993782520294e-07,-1.3423171043395996e-05
-5.248087048530578e-07,-4.306993782520294e-07,-1.2576828956604004e-05
-5.986669659614563e-07,-4.913133084774017e-07,-8.200522422790526e-06
-5.986669659614563e-07,-4.913133084774017e-07,-7.79947805404663e-06
-5.799137353897095e-07,-4.7592291235923765e-07,-8.277844429016112e-06
-5.799137353897095e-07,-4.7592291235923765e-07,-7.722155570983887e-06
-5.552098155021667e-07,-4.556489288806915e-07,-8.352314949035644e-06
-5.552098155021667e-07,-4.556489288806915e-07,-7.647684574127196e-06
-5.248087048530578e-07,-4.306993782520294e-07,-8.423171043395995e-06
-5.248087048530578e-07,-4.306993782520294e-07,-7.5768289566040036e-06
-4.913133084774017e-07,-5.986669659614563e-07,-1.3200522422790526e-05
-4.7592291235923765e-07,-5.799137353897095e-07,-1.3277844429016113e-05
-4.556489288806915e-07,-5.552098155021667e-07,-1.3352314949035644e-05
-4.913133084774017e-07,-5.986669659614563e-07,-1.2799477577209472e-05
-4.7592291235923765e-07,-5.799137353897095e-07,-1.2722155570983887e-05
-4.556489288806915e-07,-5.552098155021667e-07,-1.2647685050964354e-05
-4.306993782520294e-07,-5.248087048530578e-07,-1.3423171043395996e-05
-4.306993782520294e-07,-5.248087048530578e-07,-1.2576828956604004e-05
-4.913133084774017e-07,-5.986669659614563e-07,-8.200522422790526e-06
-4.913133084774017e-07,-5.986669659614563e-07,-7.79947805404663e-06
-4.7592291235923765e-07,-5.799137353897095e-07,-8.277844429016112e-06
-4.7592291235923765e-07,-5.799137353897095e-07,-7.722155570983887e-06
-4.556489288806915e-07,-5.552098155021667e-07,-8.352314949035644e-06
-4.556489288806915e-07,-5.552098155021667e-07,-7.647684574127196e-06
-4.306993782520294e-07,-5.248087048530578e-07,-8.423171043395995e-06
-4.306993782520294e-07,-5.248087048530578e-07,-7.5768289566040036e-06
-4.800656735897064e-07,-4.800656735897064e-07,-1.3423171043395996e-05
-4.800656735897064e-07,-4.800656735897064e-07,-1.2576828956604004e-05
-4.890223145484924e-07,-4.013302624225616e-07,-1.348968505859375e-05
-4.890223145484924e-07,-4.013302624225616e-07,-1.2510314941406249e-05
-4.013302624225616e-07,-4.890223145484924e-07,-1.348968505859375e-05
-4.013302624225616e-07,-4.890223145484924e-07,-1.2510314941406249e-05
-4.473302960395813e-07,-4.473302960395813e-07,-1.348968505859375e-05
-4.1000470519065855e-07,-4.1000470519065855e-07,-1.3551173210144042e-05
-4.473302960395813e-07,-4.473302960395813e-07,-1.2510314941406249e-05
-4.1000470519065855e-07,-4.1000470519065855e-07,-1.2448826789855956e-05
-4.800656735897064e-07,-4.800656735897064e-07,-8.423171043395995e-06
-4.800656735897064e-07,-4.800656735897064e-07,-7.5768289566040036e-06
-4.890223145484924e-07,-4.013302624225616e-07,-8.48968505859375e-06
-4.890223145484924e-07,-4.013302624225616e-07,-7.510315418243408e-06
-4.013302624225616e-07,-4.890223145484924e-07,-8.48968505859375e-06
-4.013302624225616e-07,-4.890223145484924e-07,-7.510315418243408e-06
-4.473302960395813e-07,-4.473302960395813e-07,-8.48968505859375e-06
-4.473302960395813e-07,-4.473302960395813e-07,-7.510315418243408e-06
-4.1000470519065855e-07,-4.1000470519065855e-07,-8.551173210144043e-06
-5.649593472480773e-07,-5.649593472480773e-07,-5.04051923751831e-06
-5.649593472480773e-07,-5.649593472480773e-07,-4.959480762481689e-06
-5.591621398925781e-07,-5.591621398925781e-07,-5.121142387390136e-06
-5.591621398925781e-07,-5.591621398925781e-07,-4.878857612609863e-06
-5.476270914077758e-07,-5.476270914077758e-07,-5.2005219459533685e-06
-5.476270914077758e-07,-5.476270914077758e-07,-4.799478054046631e-06
-5.304726958274841e-07,-5.304726958274841e-07,-5.277844429016113e-06
-5.304726958274841e-07,-5.304726958274841e-07,-4.722155570983886e-06
-5.078749656677246e-07,-5.078749656677246e-07,-5.352315425872802e-06
-5.078749656677246e-07,-5.078749656677246e-07,-4.647684574127197e-06
-5.986669659614563e-07,-4.913133084774017e-07,-5.2005219459533685e-06
-5.986669659614563e-07,-4.913133084774017e-07,-4.799478054046631e-06
-5.799137353897095e-07,-4.7592291235923765e-07,-5.277844429016113e-06
-5.799137353897095e-07,-4.7592291235923765e-07,-4.722155570983886e-06
-5.552098155021667e-07,-4.556489288806915e-07,-5.352315425872802e-06
-5.552098155021667e-07,-4.556489288806915e-07,-4.647684574127197e-06
-5.248087048530578e-07,-4.306993782520294e-07,-5.423171043395996e-06
-5.248087048530578e-07,-4.306993782520294e-07,-4.5768289566040035e-06
-4.913133084774017e-07,-5.986669659614563e-07,-5.2005219459533685e-06
-4.913133084774017e-07,-5.986669659614563e-07,-4.799478054046631e-06
-4.7592291235923765e-07,-5.799137353897095e-07,-5.277844429016113e-06
-4.7592291235923765e-07,-5.799137353897095e-07,-4.722155570983886e-06
-4.556489288806915e-07,-5.552098155021667e-07,-5.352315425872802e-06
-4.556489288806915e-07,-5.552098155021667e-07,-4.647684574127197e-06
-4.306993782520294e-07,-5.248087048530578e-07,-5.423171043395996e-06
-4.306993782520294e-07,-5.248087048530578e-07,-4.5768289566040035e-06
-4.800656735897064e-07,-4.800656735897064e-07,-5.423171043395996e-06
-4.800656735897064e-07,-4.800656735897064e-07,-4.5768289566040035e-06
-4.890223145484924e-07,-4.013302624225616e-07,-5.489684581756592e-06
-4.890223145484924e-07,-4.013302624225616e-07,-4.510315418243408e-06
-4.013302624225616e-07,-4.890223145484924e-07,-5.489684581756592e-06
-4.013302624225616e-07,-4.890223145484924e-07,-4.510315418243408e-06
-4.1000470519065855e-07,-4.1000470519065855e-07,-7.448826313018799e-06
-4.473302960395813e-07,-4.473302960395813e-07,-5.489684581756592e-06
-4.473302960395813e-07,-4.473302960395813e-07,-4.510315418243408e-06
-4.1000470519065855e-07,-4.1000470519065855e-07,-5.551173686981201e-06
-4.1000470519065855e-07,-4.1000470519065855e-07,-4.448826313018799e-06
-7.046314477920532e-07,-3.766333758831024e-07,-2.6040519714355466e-05
-7.046314477920532e-07,-3.766333758831024e-07,-2.595948028564453e-05
-7.381550073623657e-07,-3.0575379729270934e-07,-2.6040519714355466e-05
-7.381550073623657e-07,-3.0575379729270934e-07,-2.595948028564453e-05
-7.305805087089538e-07,-3.026163578033447e-07,-2.612114143371582e-05
-7.305805087089538e-07,-3.026163578033447e-07,-2.5878858566284177e-05
-7.178982496261596e-07,-2.1777206659317016e-07,-2.6277843475341797e-05
-7.645696997642517e-07,-2.31929674744606e-07,-2.6040519714355466e-05
-7.645696997642517e-07,-2.31929674744606e-07,-2.595948028564453e-05
-7.567241787910461e-07,-2.2954976558685302e-07,-2.612114143371582e-05
-7.567241787910461e-07,-2.2954976558685302e-07,-2.5878858566284177e-05
-7.15509295463562e-07,-2.9637366533279417e-07,-2.620052146911621e-05
-7.15509295463562e-07,-2.9637366533279417e-07,-2.5799478530883787e-05
-7.411136627197265e-07,-2.2481437027454374e-07,-2.620052146911621e-05
-7.411136627197265e-07,-2.2481437027454374e-07,-2.5799478530883787e-05
-7.178982496261596e-07,-2.1777206659317016e-07,-2.5722156524658203e-05
-6.616188287734985e-07,-3.5364264249801634e-07,-2.6277843475341797e-05
-6.334343552589416e-07,-3.385777175426483e-07,-2.635231590270996e-05
-6.974009871482848e-07,-3.727685809135437e-07,-2.612114143371582e-05
-6.974009871482848e-07,-3.727685809135437e-07,-2.5878858566284177e-05
